id,client,filename,type,sha256
01,gsecl_wanakbori_tmd8,RFQ-75810 TMD-8.pdf,pdf,d3f44225ae6ecf11
02,isro_vssc,VSSC_BOQ_with_qty.xlsx,xlsx,2c6f4c2f660fdc01
03,zydus_matoda_osd,Zydus_Matoda_Insulation_Enquiry.xlsx,xlsx,66ea9b83e9ca5519
04,adani,BOQ PAGE2adani proj.pdf,pdf,af820a10b3508d14
04,adani,BOQ PAGEadani proj.pdf,pdf,9db7a982ea393391
04,adani,TENDER SPECIFICATION- CHW PIPE INSULATIONadani proj.pdf,pdf,500720c6cb17ad4c
04,adani,TENDER SPECIFICATION-ACCOUSTIC INSULATIONadani proj.pdf,pdf,71da064afd924bd5
05,zydus_animal_pharmez,Copy of Insulation Enquiry-Zydus Animal Health Expansion Project - Pharmez-Ahmedabad_.xlsx,xlsx,dbea10ff027dac9c
05,zydus_animal_pharmez,Copy of TDS TO BE FILLED BY VENDOR-INSULATION.xlsx,xlsx,d3cdda52290b125f
06,avante_kirloskar_pune,Insulation Boq_132.pdf,pdf,16b6437399f89f44
06,avante_kirloskar_pune,Insulation Specs_132.pdf,pdf,b8ba7b3c13ed63b2
07,grew_solar_narmadapuram,"108, BOQ compliance, Grew Energy.pdf",pdf,b844a51c39c6c65c
07,grew_solar_narmadapuram,"108, Specification compliance, Grew Energy.pdf",pdf,2912cc62cb9b1607
07,grew_solar_narmadapuram,"108, TDS Fill up, Grew Energy.pdf",pdf,095ae849125618fe
08,sael,Copy of Insulation Enquiry - SAEL.xlsx,xlsx,bd6515f925ca9c59
08,sael,Copy of TDS - Insulation - SAEL (1).xlsx,xlsx,11c69d5d74a489c5
09,gem_bid_7439924,GeM-Bidding-9218026.pdf,pdf,6f52c5459f1d8b14
10,gem_bid_7552777,GeM-Bidding-9343469.pdf,pdf,4172608f56661dfb
